date,open,high,low,close,volume
24-04-17,144.96,145.6738,144.34,145.47,14397448
25-04-17,145.79,147.15,145.7898,146.49,17767523
26-04-17,147.09,147.59,146.09,146.56,12394959
27-04-17,146.67,147.75,146.14,147.7,11275112
28-04-17,149.5,151.53,149.07,150.25,30652248
01-05-17,151.74,152.57,151.42,152.46,25218300
02-05-17,153.34,153.44,151.66,152.78,21870380
03-05-17,153.6,153.6,151.34,151.8,29782492
04-05-17,150.17,151.52,148.72,150.85,36225452
05-05-17,151.45,151.63,149.79,150.24,17148543
08-05-17,150.71,151.08,149.74,151.06,15827488
09-05-17,151.49,152.59,150.21,150.48,17453859
10-05-17,150.23,150.52,148.86,150.29,12080650
11-05-17,150.31,150.65,149.41,150.04,11841864
12-05-17,150.4,150.46,149.63,150.33,9598229
15-05-17,150.17,151.48,149.77,150.19,15064664
16-05-17,150.11,150.21,149.03,149.78,14550830
17-05-17,148,148.67,144.4216,144.85,28300050
18-05-17,144.72,148.15,144.51,147.66,23031566
19-05-17,148.445,149.39,147.96,148.06,16187892
22-05-17,148.08,148.59,147.69,148.24,12586712
23-05-17,148.52,148.81,147.25,148.07,12817837
24-05-17,148.51,150.23,148.42,150.04,17940668
25-05-17,150.3,152.59,149.95,151.96,19891352
26-05-17,152.23,152.25,151.15,152.13,14996185
30-05-17,151.97,152.9,151.64,152.38,13226007
31-05-17,152.7,153.35,151.09,151.46,18023917
01-06-17,151.75,152.29,150.3,151.53,14530600
02-06-17,151.85,153.63,151.3,153.61,16854365
05-06-17,153.64,154.7088,153.41,153.63,12520387
06-06-17,153.41,154.52,152.48,152.81,13457119
07-06-17,153.27,153.75,152.34,153.12,12066657
08-06-17,154.08,154.73,153.1,154.71,17799449
09-06-17,154.77,155.59,146.61,149.6,35577676
12-06-17,148.17,149.195,144.56,148.44,33170180
13-06-17,150.15,151.18,148.9,150.68,20483350
14-06-17,151.26,152.4,149.05,150.25,20808759
15-06-17,147.67,150.0366,146.3747,149.8,18994152
16-06-17,149.59,150.83,148.6,150.64,22882417
19-06-17,151.71,153.57,151.71,152.87,19026462
20-06-17,152.88,153.84,152.21,152.25,14743853
21-06-17,152.36,154.08,151.88,153.91,15039834
22-06-17,153.01,154.55,152.91,153.4,13005535
23-06-17,152.72,155.2,152.65,155.07,18026977
26-06-17,156.25,156.5,153.1954,153.59,18049651
27-06-17,152.84,153.31,150.39,150.58,19360766
28-06-17,150.92,153.47,149.86,153.24,16719104
29-06-17,152.28,152.5,148.9175,151.04,23973482
30-06-17,151.9,151.92,150.06,150.98,17666022
03-07-17,151.72,152.15,147.8,148.43,13862735
05-07-17,149,150.85,148.13,150.34,14334290
06-07-17,149.03,150.04,148,148.82,14951802
07-07-17,149.25,151.99,149.19,151.44,13615931
10-07-17,151.69,153.98,151.51,153.5,13378672
11-07-17,153.37,155.4225,152.91,155.27,13667744
12-07-17,156.49,159.16,156.2,158.9,22739388
13-07-17,158.74,159.78,158.4227,159.26,13929236
14-07-17,160.13,160.32,159.3254,159.97,16371207
17-07-17,160.25,160.78,158.81,159.73,12858836
18-07-17,159.66,163.73,159.42,162.86,23722910
19-07-17,163.59,165.7,163.17,164.14,26273642
20-07-17,164.8,165,162.81,164.53,18523107
21-07-17,164.16,165.05,163.75,164.43,14744002
24-07-17,164.64,166.17,164.31,166,17366971
25-07-17,165.01,165.54,163.8619,165.28,15383241
26-07-17,166.01,166.01,164.1,165.61,35236867
27-07-17,174.7,175.49,167.5,170.44,68910708
28-07-17,169.07,173.43,169.05,172.45,24557553
31-07-17,172,172.72,168.55,169.25,25478945
01-08-17,169.82,170.47,169.05,169.86,14384957
02-08-17,170.3,170.55,166.91,169.3,17433774
03-08-17,169.3,169.7,168.25,168.59,10793841
04-08-17,168.97,170.06,168.69,169.62,10777727
07-08-17,169.95,172.06,169.66,171.98,12787844
08-08-17,171.88,173.05,170.62,171.23,14393524
09-08-17,169.98,171.45,169.56,171.18,10814984
10-08-17,170.06,170.59,166.85,167.4,20832746
11-08-17,167.95,168.82,166.85,168.08,13791153
14-08-17,170.09,171.08,169.29,170.75,12954231
15-08-17,171.49,171.5,170.01,171,8729172
16-08-17,171.25,171.38,169.24,170,15779924
17-08-17,169.34,169.86,166.85,166.91,17216030
18-08-17,166.84,168.67,166.21,167.41,15093638
21-08-17,167.16,168,165.82,167.78,11907488
22-08-17,168.28,169.87,167.15,169.64,11390975
23-08-17,168.84,169.36,168.2,168.71,9856473
24-08-17,168.88,169.29,166.41,167.74,14030420
25-08-17,167.86,168.38,166.18,166.32,12614477
28-08-17,166.91,167.7,166.33,167.24,8553741
29-08-17,165.25,168.425,165,168.05,11120986
30-08-17,168.17,170.18,167.63,169.92,11138293
31-08-17,170.4,172.145,170.06,171.97,17226465
01-09-17,172.4,172.915,171.31,172.02,11677589
05-09-17,171.27,172.3875,169.55,170.72,13221127
06-09-17,170.91,172.48,169.57,172.09,13906342
07-09-17,171.94,173.3067,170.27,173.21,18049527
08-09-17,173.09,173.49,170.8,170.95,10998459
11-09-17,172.4,173.89,172.2,173.51,12372040
12-09-17,173.76,174,171.75,172.96,11186328
13-09-17,173.01,173.17,172.06,173.05,9119295
14-09-17,172.26,172.28,170.5,170.96,15615654
15-09-17,170.88,172.34,170.26,171.64,15660539
18-09-17,171.99,172.07,169.34,170.01,12954013
19-09-17,170.62,172.56,170.36,172.52,13168595
20-09-17,172.5,173.05,170.7,172.17,12264125
21-09-17,171.69,172.27,170.01,171.11,11161412
22-09-17,170.21,171.73,169.22,170.54,12097138
25-09-17,169.24,169.3,161.56,162.87,41251583
26-09-17,164.5,165.5,162.78,164.21,23363335
27-09-17,165.9,168.34,165.57,167.68,19242548
28-09-17,167.94,169.0696,167.16,168.73,12178747
29-09-17,168.83,171.66,168.81,170.87,15340366
02-10-17,171.39,171.87,168.75,169.47,13392280
03-10-17,169.3,170.73,169.2,169.96,8190273
04-10-17,169.83,170.67,168.29,168.42,12127887
05-10-17,169.18,171.31,168.6,171.24,14580628
06-10-17,170.25,172.37,169.75,172.23,13124473
09-10-17,172.7,174.88,172,172.5,14570413
10-10-17,173,173.2,170.8,171.59,11341081
11-10-17,171.95,172.78,171.4,172.74,11283663
12-10-17,172.61,173.85,172.29,172.55,10351044
13-10-17,173.45,174.65,173.2,173.74,13658307
16-10-17,174.49,175,174.06,174.52,11498752
17-10-17,174.71,176.13,174.36,176.11,15990079
18-10-17,176.65,176.74,175.75,176.03,12752351
19-10-17,174.93,176.03,172.63,174.56,14048350
20-10-17,175.5,175.88,174.63,174.98,12602238
23-10-17,175.2,175.34,171.25,171.27,13852658
24-10-17,172.3,173.24,171.5,171.8,12267913
25-10-17,171.9,172.25,168.89,170.6,15868197
26-10-17,171.38,172.285,170.39,170.63,11833141
27-10-17,174.15,178.21,173.9,177.88,30285281
30-10-17,179.26,180.69,177.61,179.87,24353160
31-10-17,180.57,180.8,178.94,180.06,20174231
01-11-17,182.36,182.9,180.57,182.66,40918341
02-11-17,180.63,181.94,177.34,178.92,35529893
03-11-17,179.29,179.86,176.71,178.92,17822131
06-11-17,178.56,180.45,178.31,180.17,13312741
07-11-17,180.5,180.7478,178.96,180.25,12928182
08-11-17,179.79,180.35,179.11,179.56,10873359
09-11-17,178.31,179.4,177.09,179.3,12557573
10-11-17,178.35,179.0999,177.96,178.46,11070189
13-11-17,177.5,179.04,177.3,178.77,9523447
14-11-17,178.13,178.97,177.18,178.07,9585868
15-11-17,176.66,178.57,176.4,177.95,10253667
16-11-17,178.76,179.83,178.5,179.59,15607582
17-11-17,179.3,179.98,178.9,179,13017980
20-11-17,178.87,179.5,178.1,178.74,10052391
21-11-17,179.15,181.89,178.99,181.86,14503990
22-11-17,181.3,181.73,180.44,180.87,10376329
24-11-17,180.4,183.15,180.29,182.78,9426283
27-11-17,182.56,183.73,181.99,183.03,12344516
28-11-17,183.51,184.25,182.09,182.42,14379674
29-11-17,181.89,181.97,174,175.13,41933484
30-11-17,176.85,178.275,175.2,177.18,25307601
01-12-17,176.03,177.48,172.34,175.1,20182523
04-12-17,176.29,176.57,170.79,171.47,24459422
05-12-17,170.45,175.38,169.01,172.83,20184908
06-12-17,172.5,176.77,171.9,176.06,20255846
07-12-17,175.8,180.39,175.8,180.14,20404533
08-12-17,181.53,182.28,178.7401,179,19883764
11-12-17,179.3,180.22,178.8,179.04,13168575
12-12-17,178.6,179.18,176.6,176.96,16854098
13-12-17,177.3,179.16,177.25,178.3,14615718
14-12-17,178.29,180.3601,177.68,178.39,13590999
15-12-17,179.02,180.4934,178.36,180.18,28463101
18-12-17,181.01,181.3,179.75,180.82,17265376
19-12-17,179.95,180.08,178.22,179.51,14920582
20-12-17,179.81,179.81,177.36,177.89,11860497
21-12-17,177.94,178.68,177.05,177.45,11600700
22-12-17,177.14,177.53,176.23,177.2,8509451
26-12-17,176.63,177,174.67,175.99,8897286
27-12-17,176.55,178.44,176.26,177.62,9496071
28-12-17,177.95,178.9367,177.68,177.92,12220760
29-12-17,178,178.85,176.46,176.46,10261456
02-01-18,177.68,181.58,177.55,181.42,18151903
03-01-18,181.88,184.78,181.33,184.67,16886563
04-01-18,184.9,186.21,184.0996,184.33,13880896
05-01-18,185.59,186.9,184.93,186.85,13574535
08-01-18,187.2,188.9,186.33,188.28,17994726
09-01-18,188.7,188.8,187.1,187.87,12393057
10-01-18,186.94,187.89,185.63,187.84,10529894
11-01-18,188.4,188.4,187.38,187.77,9588587
12-01-18,178.06,181.48,177.4,179.37,77551299
16-01-18,181.5,181.75,178.04,178.39,36183842
17-01-18,179.26,179.32,175.8,177.6,27992376
18-01-18,178.13,180.98,177.08,179.8,23304901
19-01-18,180.85,182.37,180.1702,181.29,26826540
22-01-18,180.8,185.39,180.41,185.37,21059464
23-01-18,186.05,189.55,185.55,189.35,25678781
24-01-18,189.89,190.66,186.52,186.55,24334548
25-01-18,187.95,188.62,186.6,187.48,17377740
26-01-18,187.75,190,186.81,190,17759212
29-01-18,188.75,188.84,185.6301,185.98,20453172
30-01-18,183.01,188.18,181.84,187.12,20858556
31-01-18,188.37,189.83,185.22,186.89,43275144
01-02-18,188.22,195.32,187.89,193.09,54211293
02-02-18,192.04,194.21,189.98,190.28,26677484
05-02-18,186.93,190.61,180.61,181.26,33128206
06-02-18,178.57,185.77,177.74,185.31,37758505
07-02-18,184.15,185.0817,179.95,180.18,27601886
08-02-18,181.01,181.84,171.4815,171.58,38478321
09-02-18,174.76,176.9,167.18,176.11,39887626
12-02-18,177.06,177.545,171.84,176.41,32092133
13-02-18,175.62,175.97,173.1,173.15,21809350
14-02-18,173.45,179.81,173.2119,179.52,28929704
15-02-18,180.5,180.5,176.84,179.96,20922120
16-02-18,178.99,179.88,176.3,177.36,21015610
20-02-18,175.77,177.95,175.11,176.01,21204921
21-02-18,176.71,181.27,176.4,177.91,23200804
22-02-18,178.7,180.21,177.41,178.99,18464192
23-02-18,179.9,183.39,179.51,183.29,19007288
26-02-18,184.58,185.66,183.2228,184.93,17599703
27-02-18,184.45,184.7,181.46,181.46,15849806
28-02-18,182.3,182.88,178.14,178.32,18783039
01-03-18,179.01,180.12,174.41,175.94,23201626
02-03-18,173.29,177.11,172.99,176.62,20025905
05-03-18,176.2,181.1475,175.89,180.4,16189280
06-03-18,181.78,182.38,179.11,179.78,15086784
07-03-18,178.74,183.82,178.07,183.71,19097293
08-03-18,183.56,184.4,181.45,182.34,17225946
09-03-18,183.91,185.51,183.21,185.23,18526292
12-03-18,185.23,186.1,184.22,184.76,15301229
13-03-18,185.61,185.99,181.11,181.88,18067477
14-03-18,182.6,184.25,181.85,184.19,16821728
15-03-18,183.24,184,182.19,183.86,15645035
16-03-18,184.49,185.33,183.41,185.09,24403438
19-03-18,177.01,177.17,170.06,172.56,88140060
20-03-18,167.47,170.2,161.95,168.15,129851768
21-03-18,164.8,173.4,163.3,169.39,106598834
22-03-18,166.13,170.27,163.72,164.89,73742979
23-03-18,165.44,167.1,159.02,159.39,53609706
26-03-18,160.82,161.1,149.02,160.06,126116634
27-03-18,156.31,162.85,150.75,152.22,79116995
28-03-18,151.65,155.88,150.8,153.03,60029170
29-03-18,155.15,161.42,154.14,159.79,59434293
02-04-18,157.81,159.2,154.111,155.39,36795991
03-04-18,156.55,157.39,150.81,156.11,42543865
04-04-18,152.025,155.56,150.51,155.1,49885584
05-04-18,161.56,161.575,156.65,159.34,41449609
06-04-18,157.73,161.42,156.81,157.2,41644812
09-04-18,157.82,160.53,156.04,157.93,34915227
10-04-18,157.93,165.98,157.01,165.04,58947041
11-04-18,165.36,168.65,163.25,166.32,56144633
12-04-18,166.98,167.45,163.1,163.87,38262956
13-04-18,164.58,165.7036,163.77,164.52,19990561
16-04-18,165.7249,165.78,163.39,164.83,18119435
17-04-18,165.83,169,165.66,168.66,22743029
18-04-18,166.88,168.12,165.77,166.36,20969568
19-04-18,166.2,168.33,165.2,168.1,22234961
20-04-18,167.79,168.43,165.81,166.28,19119438
23-04-18,167.27,168.45,165.09,165.84,23088102
24-04-18,165.43,166.1,158.19,159.69,35079926
25-04-18,160.1448,161.06,156.19,159.69,41083581
26-04-18,173.22,176.27,170.8,174.16,77556934
27-04-18,176.81,177.1,172.6,173.59,29804657
30-04-18,173.79,175.72,171.71,172,20750478
01-05-18,172,174.02,170.23,173.86,26025932
02-05-18,174.246,178.08,174.2,176.07,30424450
03-05-18,175.13,176.12,172.12,174.02,24026071
04-05-18,173.08,176.98,173.06,176.61,17677844
07-05-18,177.35,179.5,177.17,177.97,18697195
08-05-18,178.25,179.04,177.11,178.92,15577211
09-05-18,179.67,183.01,178.7807,182.66,23282811
10-05-18,183.15,186.1292,182.5,185.53,21071403
11-05-18,184.85,188.32,184.18,186.99,21207848
14-05-18,187.71,187.86,186.2,186.64,15646744
15-05-18,184.88,185.29,183.2,184.32,15429433
16-05-18,183.6952,184.32,182.66,183.2,16975495
17-05-18,182.68,184.06,182.22,183.76,14840675
18-05-18,183.49,184.19,182.61,182.68,13130451
21-05-18,183.77,185.3,183.13,184.49,13532864
22-05-18,184.93,185.42,183.43,183.8,12731419
23-05-18,182.5,186.91,182.18,186.9,16628100
24-05-18,185.88,186.8,185.03,185.93,12354742
25-05-18,186.02,186.33,184.45,184.92,10965061
29-05-18,184.34,186.81,183.71,185.74,16398937
30-05-18,186.54,188,185.25,187.67,13736866
31-05-18,187.87,192.72,187.48,191.78,30782631
01-06-18,193.065,194.5492,192.07,193.99,17307245
04-06-18,191.84,193.98,191.47,193.28,18939795
05-06-18,194.3,195,192.62,192.94,15544294
06-06-18,191.0252,192.53,189.11,191.34,22558920
07-06-18,190.75,190.97,186.77,188.18,21503171
